"set_counts.year","set_counts.station","set_counts.lat","set_counts.lon","set_counts.E_it","set_counts.N_it","set_counts.C_it","set_counts.E_it20","set_counts.N_it20","set_counts.C_it20","set_counts.usable"
1995,"7FC",51.8667,-129.3333,5.019074,0,0,NA,NA,NA,"Y"
1995,"7H",51.8,-129.5,5.019074,0,0,NA,NA,NA,"Y"
1995,"7K",51.8,-129.9833,4.918693,0,0,NA,NA,NA,"Y"
1995,"7N",51.8,-130.4833,4.968883,0,0,NA,NA,NA,"Y"
1995,"7NC",51.8667,-130.65,4.868502,0,0,NA,NA,NA,"Y"
1995,"7P",51.8,-130.8333,5.119455,0,0,NA,NA,NA,"N"
1995,"8A",51.9833,-128.5,4.968883,8,1.61001979720593,NA,NA,NA,"Y"
1995,"8AC",51.9333,-128.6667,5.019074,0,0,NA,NA,NA,"Y"
1995,"8C",52,-128.8167,5.069265,0,0,NA,NA,NA,"Y"
1995,"8F",52,-129.3333,5.019074,0,0,NA,NA,NA,"Y"
1995,"8I",52,-129.8333,5.019074,0,0,NA,NA,NA,"Y"
1995,"8IC",51.9333,-130,4.968883,0,0,NA,NA,NA,"Y"
1995,"8K",52,-130.1667,5.069265,0,0,NA,NA,NA,"Y"
1995,"8N",52,-130.6667,5.019074,0,0,NA,NA,NA,"N"
1995,"8P",52,-131.15,5.019074,13,2.59011921322539,NA,NA,NA,"Y"
1995,"8PC",52.1,-131.35,4.968883,NA,NA,NA,NA,NA,"N"
1995,"8Q",52,-131.2667,4.968883,0,0,NA,NA,NA,"Y"
1995,"9E",52.2,-129.1667,5.019074,0,0,NA,NA,NA,"Y"
1995,"9EC",52.2667,-129.3333,5.019074,0,0,NA,NA,NA,"N"
1995,"9G",52.2,-129.5,4.918693,0,0,NA,NA,NA,"Y"
1995,"9J",52.2,-130,4.868502,0,0,NA,NA,NA,"Y"
1995,"9M",52.2,-130.5,5.019074,0,0,NA,NA,NA,"Y"
1995,"9O",52.2,-130.8333,4.968883,0,0,NA,NA,NA,"Y"
1995,"9Q",52.1667,-131.4333,4.968883,0,0,NA,NA,NA,"Y"
1996,"9011",50.7983333333333,-128.830833333333,4.9390001,3,0.607410394666726,NA,NA,NA,"Y"
1996,"9012",50.7983333333333,-128.998333333333,4.9390001,6,1.21482078933345,NA,NA,NA,"Y"
