,PFMA,YEAR,QBCatch,tonnes,annualEffort,totalEffort
147,PFMA 20,1996,350.3390832,0.329318738,53943,58797.87
148,PFMA 28,1996,1505.862003,1.415510283,9071,9887.39
149,PFMA 29,1996,1880.822572,1.767973218,11515,12551.35
150,PFMA 13,1997,12424.02405,11.67858261,41317,45035.53
151,PFMA 14,1997,1708.522387,1.606011044,48926,53329.34
152,PFMA 15,1997,1467.098992,1.379073052,6686,7287.74
153,PFMA 16,1997,12487.24784,11.73801297,28363,30915.67
154,PFMA 17,1997,2281.08582,2.144220671,23653,25781.77
155,PFMA 18,1997,935.5374401,0.879405194,12744,13890.96
156,PFMA 19,1997,1614.427017,1.517561396,20220,22039.8
157,PFMA 20,1997,278.2011529,0.261509084,67490,73564.1
158,PFMA 28,1997,1555.998506,1.462638596,11596,12639.64
159,PFMA 29,1997,1935.514719,1.819383836,11848,12914.32
160,PFMA 13,1998,18783.27268,17.65627632,25727,28042.43
161,PFMA 14,1998,1012.580403,0.951825579,27513,29989.17
162,PFMA 15,1998,1422.465028,1.337117126,4362,4754.58
163,PFMA 16,1998,10339.84825,9.719457355,16974,18501.66
164,PFMA 17,1998,2074.644484,1.950165815,15524,16921.16
165,PFMA 18,1998,635.4737355,0.597345311,9876,10764.84
166,PFMA 19,1998,1941.009581,1.824549006,15469,16861.21
167,PFMA 20,1998,736.0755298,0.691910998,35348,38529.32
168,PFMA 28,1998,503.7945482,0.473566875,10678,11639.02
169,PFMA 29,1998,451.1184506,0.424051344,5386,5870.74
170,PFMA 13,1999,13564.48383,12.7506148,31559,34399.31
171,PFMA 14,1999,682.9672623,0.641989227,22547,24576.23
172,PFMA 15,1999,371.3028312,0.349024661,2530,2757.7
173,PFMA 16,1999,10264.25606,9.648400699,16297,17763.73
174,PFMA 17,1999,1236.601792,1.162405684,20814,22687.26
175,PFMA 18,1999,244.0036712,0.229363451,8819,9612.71
176,PFMA 19,1999,1473.650498,1.385231468,9978,10876.02
177,PFMA 20,1999,533.9629058,0.501925131,35474,38666.66
178,PFMA 28,1999,1103.223923,1.037030488,10594,11547.46
179,PFMA 29,1999,363.3907779,0.341587331,4813,5246.17
180,PFMA 12,2000,5606,5.26964,18083,18083
